category,Family Words (Female),Career Words (Female),Family Words (Male),Career Words (Male)
3dprinting,0.764705882,0.411764706,0.432432432,0.202702703
academia,2.275886525,0.868085106,1.035611165,0.860763555
ai,1.736842105,0.315789474,0.820163488,0.48773842
android,0.186440678,0.025423729,0.0625,0.101470588
anime,0.903225806,0.096774194,1.650877193,0.080701754
apple,1.155502392,0.093301435,0.652379627,0.190370164
arduino,0.279069767,0.069767442,0.286413709,0.112607099
astronomy,1.326086957,0.108695652,0.564671815,0.051158301
aviation,1.290322581,0.348387097,0.868951613,0.604032258
avp,0.666666667,0.066666667,0.631578947,0.387559809
beer,1.69047619,0.119047619,1.139344262,0.286885246
bicycles,1.745454545,0.066666667,0.950807071,0.143735588
bioinformatics,1.466666667,0.533333333,0.163398693,0.032679739
biology,1.718128655,0.2,0.914032169,0.108153078
bitcoin,2.168067227,0.109243697,0.655942219,0.15561392
blender,0.35,0.066666667,0.3595724,0.083576288
boardgames,1.432132964,0.088642659,1.164295875,0.257112376
bricks,1.043478261,0.217391304,0.865671642,0.293532338
buddhism,4.36440678,0.189265537,2.298424242,0.200727273
cardano,0,0,1.2,0.5
chemistry,0.973684211,0.131578947,0.601167315,0.167315175
chess,1.001996008,0.303393214,1.114109483,1.332048317
chinese,1.645907473,0.142348754,1.315242494,0.114318707
christianity,6.146107784,0.208383234,4.859732909,0.269213761
civicrm,0.833333333,0,0.244047619,0.148809524
codegolf,1.485549133,0.121387283,0.462486309,0.07584885
codereview,1.045226131,0.165829146,0.277256088,0.188285851
coffee,1.142857143,0.142857143,0.925925926,0.166666667
cogsci,3.148351648,0.225274725,1.771857923,0.357923497
computergraphics,0,0,0.376712329,0.109589041
conlang,2.375,0.0625,1.606060606,0.181818182
cooking,1.086642599,0.048736462,0.712816456,0.130537975
craftcms,1,0,0.229166667,0.120833333
crafts,1.951612903,0.129032258,0.723404255,0.159574468
crypto,1.80952381,0.098214286,0.713023256,0.087906977
cs,1.960526316,0.092105263,0.526123937,0.130012151
cseducators,1.655172414,0.293103448,1.323076923,0.523076923
cstheory,1.162790698,0.11627907,0.795994994,0.133917397
datascience,0.653846154,0.134615385,0.381107492,0.205211726
dba,1.094017094,0.170940171,0.312268576,0.267094545
devops,1.666666667,0.666666667,0.193846154,0.483076923
diy,1.046875,0.28515625,0.577595433,0.838387442
drones,0,0,0.470588235,0.205882353
drupal,0.378378378,0.243243243,0.224826851,0.189131593
dsp,0.921052632,0,0.460652591,0.05950096
earthscience,1.25,0.125,0.696581197,0.123931624
ebooks,1.333333333,0.222222222,0.3875,0.2625
economics,2.325842697,0.41011236,1.05433526,0.523699422
electronics,0.791079812,0.107981221,0.351003075,0.38028994
elementaryos,1.285714286,0,0.294573643,0.713178295
ell,2.116173534,0.146669087,1.536713862,0.163714192
emacs,0.909090909,0,0.368530021,0.250517598
engineering,1.09375,0.09375,0.61754386,0.585964912
english,1.833439046,0.16212102,1.698647804,0.212638737
eosio,4,4,0.510638298,0.063829787
es,1.535714286,0.035714286,0.818330506,0.013690332
esperanto,0.780821918,0.054794521,0.87654321,0.12345679
ethereum,1.71875,0.125,0.551326413,0.182237601
expatriates,3.839130435,0.495652174,1.738601824,0.790273556
expressionengine,0.5,0.25,0.169230769,0.105128205
fitness,1.601593625,0.143426295,1.100492611,0.14679803
freelancing,1.705882353,0.862745098,1.666666667,0.986666667
french,1.49219563,0.044745057,1.596161379,0.050920486
gamedev,1.273504274,0.299145299,0.572815534,0.403198172
gaming,1.393193338,0.06589428,1.335076284,0.114748227
gardening,1.015936255,0.059760956,0.895752896,0.135135135
genealogy,3.449044586,0.24522293,3.450301205,0.248493976
german,0.986666667,0.087179487,1.815449853,0.05199115
gis,0.734375,0.1171875,0.250102333,0.153090463
graphicdesign,1.265895954,0.445086705,0.919208574,0.339653751
ham,1.695652174,0.173913043,0.613707165,0.713395639
hardwarerecs,1.277777778,0.055555556,0.565789474,0.171052632
health,2.100917431,0.26146789,1.312849162,0.282122905
hermeneutics,6.598550725,0.24057971,5.525854416,0.331003107
hinduism,7.136612022,0.269125683,5.716197866,0.395538312
history,3.890274314,0.35286783,3.292335656,0.495001515
homebrew,1.160714286,0.026785714,0.629518072,0.054216867
hsm,1.648648649,0.27027027,2.538149899,0.140445645
interpersonal,5.456307259,0.249119098,4.368058076,0.433393829
iot,1.2,0,0.369863014,0.219178082
iota,4,1,0.392857143,0.267857143
islam,7.826984127,0.111111111,4.229532164,0.087426901
italian,1.43956044,0.005494505,1.211009174,0.055045872
ja,1.2,0.2,0.404907975,0.153374233
japanese,1.629800307,0.138248848,1.047115385,0.138461538
joomla,0.5,0,0.332155477,0.406360424
judaism,4.383050847,0.109322034,2.587743449,0.123687162
korean,1.469879518,0.108433735,1.816831683,0.282178218
languagelearning,2.382352941,0.176470588,1.337078652,0.235955056
latin,1.429223744,0.091324201,1.377310924,0.1
law,2.980686695,1.077253219,1.630848174,1.326592212
lifehacks,1.330434783,0.034782609,0.921465969,0.183246073
linguistics,1.71686747,0.102409639,1.205765408,0.128230616
literature,5.754285714,0.257142857,5.5390924,0.33570257
magento,0.6,0,0.247278383,0.316485226
martialarts,3.516949153,0.177966102,2.130300694,0.584425598
materials,1.5,1,0.444444444,0.288888889
math,2.484124019,0.080687337,0.665231719,0.073419826
matheducators,2.192,0.24,1.222067039,0.328212291
mathematica,0.858823529,0.105882353,0.61582642,0.058710913
mechanics,1.041958042,0.160839161,0.85995086,0.402948403
moderators,5.4,0.4,1.726666667,0.326666667
monero,1.578947368,0.105263158,0.703389831,0.131355932
money,2.635983264,0.581589958,1.242813285,1.104381803
movies,3.78816,0.216,3.435755461,0.294599515
music,1.437017995,0.133676093,1.031557165,0.186497672
musicfans,1.777777778,0.202020202,1.750511247,0.220858896
mythology,5.843049327,0.381165919,6.664915966,0.443277311
networkengineering,1.5625,0.1875,0.12900541,0.141905951
opendata,1.333333333,0,0.276785714,0.214285714
opensource,1.451612903,0.548387097,0.484536082,0.414089347
or,1.25,0,0.585714286,0.242857143
outdoors,1.783707865,0.073033708,1.330097087,0.255339806
parenting,4.829988532,0.172305046,5.33011734,0.147066493
patents,1.444444444,0.333333333,0.798780488,0.81097561
pets,3.072072072,0.095823096,3.379192334,0.114989733
philosophy,2.306666667,0.171111111,1.99689441,0.153726708
photo,1.514124294,0.101694915,0.884634761,0.170780856
physics,1.637400228,0.047890536,0.819266504,0.2999511
pm,1.732758621,0.586206897,0.934823091,1.584109249
poker,2.818181818,0.090909091,1.833333333,0.079439252
politics,2.505200594,0.38781575,1.808613403,0.536123969
portuguese,1.381818182,0.054545455,1.075757576,0.080808081
pt,1.573333333,0.013333333,0.45880777,0.066309444
puzzling,2.260077305,0.220872446,1.542381246,0.338803208
quant,1.64516129,0.483870968,0.709635417,0.37109375
quantumcomputing,1.675675676,0.081081081,0.717703349,0.196172249
raspberrypi,0.456140351,0.052631579,0.596911197,0.228571429
retrocomputing,0.902439024,0.219512195,0.676165803,0.537564767
reverseengineering,1,0.333333333,0.449101796,0.263473054
robotics,0.875,0.125,0.511111111,0.194444444
rpg,2.149109218,0.144461658,1.687525637,0.211658539
ru,1.012987013,0.038961039,0.32018985,0.096385542
rus,1,0,0.8125,0.1875
russian,1.504201681,0.075630252,1.2367531,0.139797069
salesforce,0.939393939,0.212121212,0.185380558,0.467596081
scicomp,0.7,0.1,0.498489426,0.087613293
scifi,3.613862519,0.167676999,3.646738384,0.175692378
security,1.667218543,0.336092715,0.683995388,0.372916885
sharepoint,0.59375,0.078125,0.218078104,0.240456341
sitecore,0.25,0.25,0.323170732,0.283536585
skeptics,3.665764547,0.353179973,2.534364879,0.504857863
softwareengineering,1.483870968,0.624787776,0.792161216,0.837588592
softwarerecs,1.290322581,0.806451613,0.294234592,0.389662028
sound,0.974358974,0.128205128,0.770718232,0.450276243
space,1.203389831,0.305084746,0.867452135,0.231222386
spanish,1.533163265,0.068877551,1.025457153,0.044101829
sports,1.661764706,0.117647059,1.599613153,0.204384268
sqa,0.953488372,0.395348837,0.52688172,1.00921659
stats,1.476923077,0.109401709,0.646359312,0.096414197
stellar,1.5,0,0.526315789,0.026315789
sustainability,1.857142857,0.204081633,0.939655172,0.543103448
tex,1.221465077,0.136286201,0.459279039,0.089863408
tezos,0.666666667,1,0.418181818,1.072727273
tor,1,0,0.530120482,0.15060241
travel,2.345870206,0.357669617,1.060466544,0.476058932
tridion,0.5,0,0.324444444,0.346666667
ukrainian,0.454545455,0,1.21875,0.28125
unix,0.901477833,0.18226601,0.750571572,0.176657559
ux,1.325088339,0.190812721,0.716965047,0.260585394
vegetarianism,1.865384615,0.173076923,1.370967742,0.290322581
vi,1.541666667,0.020833333,0.389721627,0.211991435
webapps,1.118421053,0.078947368,0.391678623,0.193687231
webmasters,1.179487179,0.756410256,0.256923732,0.299531317
windowsphone,0.76,0,0.590909091,0.227272727
woodworking,0.954545455,0.045454545,0.776744186,0.065116279
wordpress,0.611764706,0.094117647,0.254572271,0.087315634
workplace,2.609236234,1.26687389,1.681290245,1.992116507
worldbuilding,2.802059497,0.188501144,1.597229889,0.320018066
writers,3.956820412,0.189892051,2.583797054,0.246644845
